ID,State,Region,Year,tax,T,c,K,E,mu,lam,D,Y,L,A,sigma,th1,pb,EL
3679,10,India,2305,7.1424305250026245,2.335344280888668,141.87507628518873,655.5422200348879,0.0,1.0,3.621640991328586e-5,0.019616617305537595,273.01891869766473,1.3994102694606254,30.835500528457196,0.014197680663777006,3.621640991328586e-5,7.1424305250026245,0.0
3680,10,India,2315,3.5712152625013123,2.325868114329798,149.18532830306265,692.1511436538775,2.121995793e-314,1.0,1.7515135368174854e-5,0.019497958875856588,287.04770722028474,1.3994102694606254,31.895709002477112,0.013732686333934364,1.7515135368174854e-5,3.5712152625013123,0.0
3681,10,Middle East,2005,0.0,0.83,6.230091713133192,5.413201898172298,0.5896749604,0.0,0.0,0.0034637377242104986,3.4801033489999997,0.4127690013,3.895479485382381,0.16944179562065068,0.0762488080292928,1260.0,0.0
3682,10,Middle East,2015,34.66088021519903,0.98,8.062360489313308,8.965020576550474,0.6571271714917738,0.13936303473702272,0.00024150432838655818,0.004388328675090961,5.454232686823785,0.4993165384054777,4.5930916229802135,0.13998959847479064,0.06016052994454128,1203.3,0.0
3683,10,Middle East,2025,58.778464062732496,1.1766018620985392,10.270460661914402,14.034209001473112,0.7818189716106966,0.19170343637837822,0.00047950232790010743,0.005738594795531225,8.117734672390172,0.5824552624533031,5.365308134587009,0.11915180343180087,0.04891330470629715,1149.435,0.0
3684,10,Middle East,2035,80.00146313434205,1.3987538000139295,12.84660576152652,20.85461962891832,0.903038106608161,0.23334326251917567,0.0006854162790232839,0.007453313430226954,11.457394573414158,0.6559727899763281,6.1873560807483825,0.10280618675384116,0.04032437742299305,1098.26325,0.0
3685,10,Middle East,2045,105.3958992189993,1.6291561747661816,15.755253510008268,29.37811982203719,0.9992406826814056,0.27888995400552724,0.0009426681528047326,0.009443526651381616,15.431504836773065,0.7187904921123027,7.053090449269561,0.08979668045101273,0.03366253339021966,1049.6500875,0.0
3686,10,Middle East,2055,137.94896319696372,1.8553606096833017,19.071666300548866,39.48003195600383,1.0449632869870127,0.3320707381173817,0.001297425684633435,0.011607293193553804,19.72781960135438,0.7572263573717539,7.956239238744867,0.07930333918900395,0.0284208321820471,1003.4675831249999,0.0
3687,10,Middle East,2065,175.2520956711687,2.068476089864289,22.627227237479147,50.345903349857466,1.0503031208117484,0.38883399224775184,0.0017214849253201125,0.013836047492084065,24.295265730495014,0.7839445890596912,8.890632430956556,0.07073491093558315,0.02424171805429691,959.59420396875,0.0
3688,10,Middle East,2075,216.41319678615181,2.263057401574071,26.319324021020638,61.83957289089953,1.0305955994240812,0.4481037912193318,0.0022047558578529845,0.016032122585888396,29.334230157569806,0.8116055558988561,9.850385854209053,0.06365846728771024,0.02086893920521162,917.9144937703124,0.0
